         682631964 function calls (657525157 primitive calls) in 341.316 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.067    0.067  341.316  341.316 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:157(main)
23862/2218    5.469    0.000  341.116    0.154 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:84(find_e)
    22810    0.592    0.000  167.989    0.007 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:71(nauty_isomorphs)
    22810    1.413    0.000  167.376    0.007 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:447(run)
    22810    0.211    0.000  101.546    0.004 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:920(communicate)
    45620    0.103    0.000  101.351    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1014(wait)
    45620    0.495    0.000  101.248    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1621(_wait)
    22810    0.068    0.000  100.663    0.004 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1608(_try_wait)
    22810  100.595    0.004  100.595    0.004 {built-in method posix.waitpid}
   320973    0.574    0.000   75.933    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:131(to_graph6_bytes)
    22810    2.307    0.000   63.974    0.003 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:681(__init__)
    22810    2.349    0.000   61.030    0.003 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1412(_execute_child)
    65366    1.395    0.000   51.660    0.001 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:53(has_ind_set_k)
   320973    0.516    0.000   47.485    0.000 {method 'join' of 'bytes' objects}
  4329176    5.331    0.000   46.969    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:22(_generate_graph6_bytes)
    22810   42.221    0.002   42.221    0.002 {built-in method _posixsubprocess.fork_exec}
 20149097    7.903    0.000   35.918    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:54(<genexpr>)
24829548/65366   25.810    0.000   34.336    0.001 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:27(choose_sublists)
   641946   13.888    0.000   28.689    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:895(add_edges_from)
   320973    0.873    0.000   27.196    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:224(convert_node_labels_to_integers)
   320973    0.158    0.000   25.872    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:6(relabel_nodes)
   320973    1.381    0.000   25.669    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:191(_relabel_copy)
    22810    0.560    0.000   23.806    0.001 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:60(get_all_one_edge_removed)
   320973    0.585    0.000   22.676    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1462(copy)
 19828124    5.827    0.000   19.975    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:452(__getitem__)
    22810   15.837    0.001   15.837    0.001 {built-in method posix.read}
 10949971   11.323    0.000   15.638    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:43(check)
    22810    0.166    0.000   15.158    0.001 <class 'networkx.utils.decorators.argmap'> compilation 5:1(argmap_read_graph6_1)
    22810    0.655    0.000   13.289    0.001 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:183(read_graph6)
   831240    9.568    0.000   12.900    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:526(add_nodes_from)
   189294    2.941    0.000   12.573    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:63(from_graph6_bytes)
 49495429    5.032    0.000    9.483    0.000 {method 'update' of 'dict' objects}
 19828124    5.367    0.000    8.040    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/_collections_abc.py:664(__contains__)
 19828124    5.080    0.000    7.074    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:338(adj)
 19828124    5.374    0.000    7.074    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/coreviews.py:81(__getitem__)
  5499889    2.595    0.000    6.886    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:217(<genexpr>)
110840523    4.740    0.000    4.740    0.000 {method 'append' of 'list' objects}
  3368475    1.926    0.000    4.515    0.000 {built-in method builtins.sum}
  4044198    1.555    0.000    4.451    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:194(<genexpr>)
 39656248    3.694    0.000    3.694    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/coreviews.py:44(__init__)
 36381022    3.643    0.000    3.643    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1173(has_edge)
  5499889    2.717    0.000    3.421    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:783(__iter__)
 10678805    2.622    0.000    3.384    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1545(<genexpr>)
  3254669    2.750    0.000    3.262    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:827(add_edge)
65423488/65102515    2.730    0.000    2.800    0.000 {built-in method builtins.len}
 19828124    2.673    0.000    2.673    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/coreviews.py:53(__getitem__)
 23194381    2.572    0.000    2.572    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:57(<genexpr>)
  4044198    1.046    0.000    2.432    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/_collections_abc.py:742(__iter__)
 36595701    2.247    0.000    2.247    0.000 {method 'get' of 'dict' objects}
    45621    1.834    0.000    1.834    0.000 {built-in method io.open}
 24764182    1.786    0.000    1.786    0.000 {method 'extend' of 'list' objects}
 11958374    1.721    0.000    1.721    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:101(bits)
    22810    0.265    0.000    1.527    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/utils/decorators.py:174(_open_file)
 26706423    1.458    0.000    1.458    0.000 {method 'copy' of 'dict' objects}
   831522    1.211    0.000    1.331    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:289(__init__)
  3723225    0.898    0.000    1.276    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:187(__getitem__)
  5087097    1.082    0.000    1.082    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:33(<listcomp>)
   189294    1.072    0.000    1.072    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:124(<listcomp>)
  4044198    0.740    0.000    0.986    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:193(<genexpr>)
  4044198    0.696    0.000    0.905    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1543(<genexpr>)
  1028285    0.596    0.000    0.808    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:661(nodes)
  3687230    0.629    0.000    0.629    0.000 {built-in method builtins.chr}
    22810    0.035    0.000    0.583    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1358(_get_handles)
    22810    0.108    0.000    0.548    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:890(_get_devnull)
  8409369    0.531    0.000    0.531    0.000 {method 'items' of 'dict' objects}
   320973    0.241    0.000    0.509    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:1035(__call__)
   320973    0.208    0.000    0.495    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1257(edges)
   343783    0.273    0.000    0.481    0.000 {built-in method builtins.sorted}
  3882920    0.441    0.000    0.441    0.000 {built-in method builtins.isinstance}
    22810    0.436    0.000    0.436    0.000 {built-in method posix.open}
  5178916    0.435    0.000    0.435    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:712(<lambda>)
    22810    0.221    0.000    0.419    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/posixpath.py:121(splitext)
  3710040    0.387    0.000    0.387    0.000 {method 'encode' of 'str' objects}
   189294    0.184    0.000    0.387    0.000 {built-in method builtins.any}
  1028285    0.242    0.000    0.369    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:184(__iter__)
   320973    0.246    0.000    0.287    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:1003(__init__)
   320973    0.269    0.000    0.269    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:698(__init__)
    22810    0.242    0.000    0.266    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:847(__exit__)
   320973    0.169    0.000    0.254    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/_collections_abc.py:676(items)
    68430    0.234    0.000    0.234    0.000 {built-in method posix.close}
  1028285    0.212    0.000    0.212    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:177(__init__)
