         139591474 function calls (135526495 primitive calls) in 86.221 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.018    0.018   86.221   86.221 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:157(main)
 7790/895    1.341    0.000   86.149    0.096 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:84(find_e)
     7342    0.299    0.000   49.096    0.007 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:71(nauty_isomorphs)
     7342    0.513    0.000   48.791    0.007 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:447(run)
     7342    0.057    0.000   31.415    0.004 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:920(communicate)
    14684    0.036    0.000   31.362    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1014(wait)
    14684    0.159    0.000   31.326    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1621(_wait)
     7342    0.021    0.000   31.145    0.004 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1608(_try_wait)
     7342   31.124    0.004   31.124    0.004 {built-in method posix.waitpid}
    88714    0.158    0.000   17.904    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:131(to_graph6_bytes)
     7342    0.289    0.000   16.732    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:681(__init__)
     7342    0.733    0.000   16.246    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1412(_execute_child)
    88714    0.121    0.000   10.831    0.000 {method 'join' of 'bytes' objects}
  1077550    1.285    0.000   10.710    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:22(_generate_graph6_bytes)
     7342   10.361    0.001   10.361    0.001 {built-in method _posixsubprocess.fork_exec}
  4587744    1.815    0.000    8.102    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:54(<genexpr>)
    20817    0.268    0.000    8.040    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:53(has_ind_set_k)
   177428    3.290    0.000    6.784    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:895(add_edges_from)
