         111766 function calls (110122 primitive calls) in 0.414 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.414    0.414 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:158(main)
    57/20    0.005    0.000    0.409    0.020 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:85(find_e)
       46    0.002    0.000    0.353    0.008 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:72(nauty_isomorphs)
       46    0.002    0.000    0.350    0.008 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:447(run)
       46    0.001    0.000    0.215    0.005 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:920(communicate)
       92    0.000    0.000    0.215    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1014(wait)
       92    0.001    0.000    0.214    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1621(_wait)
       46    0.000    0.000    0.213    0.005 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1608(_try_wait)
       46    0.213    0.005    0.213    0.005 {built-in method posix.waitpid}
       46    0.004    0.000    0.133    0.003 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:681(__init__)
       46    0.005    0.000    0.127    0.003 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1412(_execute_child)
       46    0.088    0.002    0.088    0.002 {built-in method _posixsubprocess.fork_exec}
       46    0.032    0.001    0.032    0.001 {built-in method posix.read}
      221    0.001    0.000    0.025    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:131(to_graph6_bytes)
      221    0.001    0.000    0.013    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:224(convert_node_labels_to_integers)
      221    0.000    0.000    0.011    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:6(relabel_nodes)
      221    0.002    0.000    0.011    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:191(_relabel_copy)
      221    0.000    0.000    0.011    0.000 {method 'join' of 'bytes' objects}
