         33823955 function calls (33029182 primitive calls) in 28.390 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.007    0.007   28.390   28.390 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:158(main)
 2890/407    0.455    0.000   28.358    0.070 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:85(find_e)
     2678    0.115    0.000   18.643    0.007 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:72(nauty_isomorphs)
     2678    0.108    0.000   18.524    0.007 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:447(run)
     2678    0.027    0.000   11.464    0.004 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:920(communicate)
     5356    0.011    0.000   11.438    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1014(wait)
     5356    0.048    0.000   11.428    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1621(_wait)
     2678    0.005    0.000   11.373    0.004 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1608(_try_wait)
     2678   11.368    0.004   11.368    0.004 {built-in method posix.waitpid}
     2678    0.207    0.000    6.912    0.003 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:681(__init__)
     2678    0.250    0.000    6.630    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1412(_execute_child)
    27716    0.054    0.000    4.894    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:131(to_graph6_bytes)
     2678    4.511    0.002    4.511    0.002 {built-in method _posixsubprocess.fork_exec}
    27716    0.035    0.000    2.856    0.000 {method 'join' of 'bytes' objects}
   284576    0.341    0.000    2.821    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:22(_generate_graph6_bytes)
  1171856    0.482    0.000    2.109    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:54(<genexpr>)
    27716    0.068    0.000    1.927    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:224(convert_node_labels_to_integers)
    55432    0.873    0.000    1.829    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:895(add_edges_from)
    27716    0.017    0.000    1.820    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:6(relabel_nodes)
