         7189313220 function calls (6680339373 primitive calls) in 1574.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.865    0.865 1574.072 1574.072 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:209(main)
306863/20152   19.465    0.000 1572.233    0.078 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:132(find_e)
  1011228   25.566    0.000 1010.759    0.001 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:72(has_ind_set_k)
509698351/1011215  548.432    0.000  746.911    0.001 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:28(choose_sublists)
   298192    9.903    0.000  541.931    0.002 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:105(get_all_one_edge_removed)
  5538300    9.831    0.000  521.738    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1462(copy)
  5538300  215.995    0.000  360.637    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:895(add_edges_from)
230193448  141.931    0.000  236.995    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:62(check_for_ind)
  5538300  107.648    0.000  143.228    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:526(add_nodes_from)
2326165879   98.800    0.000   98.800    0.000 {method 'append' of 'list' objects}
1020395853   98.180    0.000   98.180    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1173(has_edge)
242353248   60.713    0.000   78.064    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1545(<genexpr>)
642030429   56.399    0.000   56.399    0.000 {method 'update' of 'dict' objects}
120976283   44.983    0.000   44.983    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:34(<listcomp>)
508687136   35.414    0.000   35.414    0.000 {method 'extend' of 'list' objects}
748809815   30.027    0.000   30.027    0.000 {built-in method builtins.len}
388539680   21.223    0.000   21.223    0.000 {method 'copy' of 'dict' objects}
 81400666   13.686    0.000   18.092    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1543(<genexpr>)
242412201   15.929    0.000   15.929    0.000 {method 'get' of 'dict' objects}
  5540248    5.791    0.000    6.346    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:289(__init__)
 86938966    5.636    0.000    5.636    0.000 {method 'items' of 'dict' objects}
  5597253    4.075    0.000    5.003    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:827(add_edge)
