         8971991 function calls (8641188 primitive calls) in 2.297 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006    2.297    2.297 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:191(main)
 2818/407    0.029    0.000    2.270    0.006 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:126(find_e)
     2606    0.045    0.000    1.602    0.001 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:99(get_all_one_edge_removed)
    27348    0.044    0.000    1.511    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1462(copy)
    27348    0.573    0.000    0.971    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:895(add_edges_from)
     8066    0.048    0.000    0.638    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:57(has_ind_set_k)
    27348    0.333    0.000    0.457    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:526(add_nodes_from)
336445/8053    0.293    0.000    0.385    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:24(choose_sublists)
   669812    0.167    0.000    0.218    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1545(<genexpr>)
   179652    0.122    0.000    0.197    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:40(check_for_ind)
  1891421    0.166    0.000    0.166    0.000 {method 'update' of 'dict' objects}
   869447    0.087    0.000    0.087    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1173(has_edge)
  1165804    0.065    0.000    0.065    0.000 {method 'copy' of 'dict' objects}
   289018    0.048    0.000    0.064    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1543(<genexpr>)
   946599    0.045    0.000    0.045    0.000 {method 'append' of 'list' objects}
   670847    0.044    0.000    0.044    0.000 {method 'get' of 'dict' objects}
   999861    0.042    0.000    0.042    0.000 {built-in method builtins.len}
    27422    0.029    0.000    0.032    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:289(__init__)
    28383    0.020    0.000    0.025    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:827(add_edge)
   328392    0.022    0.000    0.022    0.000 {method 'extend' of 'list' objects}
   316366    0.019    0.000    0.019    0.000 {method 'items' of 'dict' objects}
    76819    0.014    0.000    0.014    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:30(<listcomp>)
