         3727968738 function calls (3559945057 primitive calls) in 1682.228 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.232    0.232 1682.228 1682.228 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:157(main)
79654/6138   24.494    0.000 1681.640    0.274 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:84(find_e)
    76880    3.496    0.000  581.085    0.008 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:71(nauty_isomorphs)
    76880    5.185    0.000  577.518    0.008 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:447(run)
  1239971    2.266    0.000  536.687    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:131(to_graph6_bytes)
  1239971    2.454    0.000  416.210    0.000 {method 'join' of 'bytes' objects}
 19033144   23.930    0.000  413.756    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:22(_generate_graph6_bytes)
   223195    8.277    0.000  364.147    0.002 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:53(has_ind_set_k)
 92749939   36.514    0.000  363.658    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:54(<genexpr>)
    76880    0.864    0.000  350.002    0.005 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:920(communicate)
   153760    0.272    0.000  349.199    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1014(wait)
   153760    2.091    0.000  348.926    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1621(_wait)
    76880    0.223    0.000  346.591    0.005 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1608(_try_wait)
    76880  346.368    0.005  346.368    0.005 {built-in method posix.waitpid}
166933381/223195  182.592    0.000  248.477    0.001 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:27(choose_sublists)
 91509968  223.710    0.000  235.784    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/_collections_abc.py:664(__contains__)
    76880    6.557    0.000  220.799    0.003 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:681(__init__)
