         61546830 function calls (55431462 primitive calls) in 44.456 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3713    0.082    0.000   28.135    0.008 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1 2/python/script.py:64(nauty_isomorphs)
   118940    0.077    0.000    0.103    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:661(nodes)
     7426    0.076    0.000   16.863    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1621(_wait)
     3713    0.074    0.000    0.074    0.000 {built-in method posix.open}
   384754    0.070    0.000    0.094    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:193(<genexpr>)
    36558    0.069    0.000    6.603    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:131(to_graph6_bytes)
   300083    0.064    0.000    0.064    0.000 {built-in method builtins.chr}
     3713    0.063    0.000    0.063    0.000 {method 'close' of '_io.BufferedReader' objects}
   760792    0.062    0.000    0.062    0.000 {method 'extend' of 'list' objects}
   483886    0.062    0.000    0.062    0.000 {built-in method builtins.isinstance}
    73116    0.059    0.000    0.068    0.000 {method '__reduce_ex__' of 'object' objects}
   303796    0.050    0.000    0.050    0.000 {method 'encode' of 'str' objects}
     3713    0.050    0.000    0.272    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/utils/decorators.py:174(_open_file)
   766564    0.047    0.000    0.047    0.000 {method 'copy' of 'dict' objects}
    36558    0.045    0.000    3.851    0.000 {method 'join' of 'bytes' objects}
     3713    0.045    0.000    0.049    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:847(__exit__)
    11139    0.044    0.000    0.044    0.000 {built-in method posix.close}
     3713    0.039    0.000    0.073    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/posixpath.py:121(splitext)
     3713    0.039    0.000   16.923    0.005 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:920(communicate)
    36558    0.037    0.000    0.037    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:698(__init__)
   418368    0.036    0.000    0.036    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:712(<lambda>)
    36558    0.036    0.000    0.073    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:1035(__call__)
    36558    0.033    0.000    0.038    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:1003(__init__)
   149945    0.032    0.000    0.032    0.000 {built-in method builtins.getattr}
   147974    0.032    0.000    0.032    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1 2/python/script.py:26(<listcomp>)
    73116    0.032    0.000    0.041    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/copyreg.py:87(__newobj__)
     3713    0.032    0.000    1.547    0.000 <class 'networkx.utils.decorators.argmap'> compilation 5:1(argmap_read_graph6_1)
    40271    0.029    0.000    0.053    0.000 {built-in method builtins.sorted}
   118940    0.029    0.000    0.044    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:184(__iter__)
    36558    0.028    0.000    0.066    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1257(edges)
   118940    0.026    0.000    0.026    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:177(__init__)
     7426    0.025    0.000   16.888    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1014(wait)
   146232    0.024    0.000    0.110    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/copy.py:274(<genexpr>)
    36558    0.023    0.000    0.036    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/_collections_abc.py:676(items)
     3713    0.021    0.000    0.026    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/genericpath.py:121(_splitext)
   155498    0.020    0.000    0.020    0.000 {built-in method builtins.iter}
   150911    0.019    0.000    0.019    0.000 {built-in method builtins.hasattr}
    36558    0.019    0.000    2.454    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:6(relabel_nodes)
     3713    0.019    0.000    0.019    0.000 {built-in method posix.pipe}
    17595    0.018    0.000    0.018    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:111(<listcomp>)
    17595    0.016    0.000    0.032    0.000 {built-in method builtins.any}
   162463    0.016    0.000    0.016    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:112(<genexpr>)
     3713    0.015    0.000    0.090    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:890(_get_devnull)
     3713    0.015    0.000    0.030    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/posixpath.py:154(dirname)
     3713    0.015    0.000   16.776    0.005 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1608(_try_wait)
    36631    0.013    0.000    0.016    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:759(number_of_nodes)
    36558    0.013    0.000    0.013    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:990(remove_edge)
    36558    0.013    0.000    0.013    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/_collections_abc.py:698(__init__)
     3713    0.012    0.000    0.014    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:988(poll)
   109674    0.012    0.000    0.012    0.000 {built-in method builtins.issubclass}
    36558    0.011    0.000    0.011    0.000 {method 'write' of '_io.BufferedWriter' objects}
    45824    0.011    0.000    0.014    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:181(__len__)
    73117    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x1052a93a8}
    73116    0.009    0.000    0.009    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:204(__call__)
    36558    0.009    0.000    0.009    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:171(__getstate__)
    36558    0.009    0.000    0.011    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:430(__len__)
    36558    0.008    0.000    0.013    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:398(__iter__)
        1    0.008    0.008   44.456   44.456 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1 2/python/script.py:110(main)
     3713    0.007    0.000    0.007    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:240(_cleanup)
    17595    0.007    0.000    0.007    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:372(data_to_n)
    36558    0.007    0.000    0.007    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/reportviews.py:174(__setstate__)
     3713    0.007    0.000    0.007    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:875(__del__)
     3713    0.007    0.000    0.007    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:425(__init__)
    36558    0.006    0.000    0.006    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:392(n_to_data)
     3713    0.006    0.000    0.069    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/utils/decorators.py:189(<lambda>)
     3713    0.006    0.000    0.096    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1358(_get_handles)
     3713    0.006    0.000    0.006    0.000 {built-in method _thread.allocate_lock}
     3713    0.006    0.000    0.011    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1555(_handle_exitstatus)
     3713    0.005    0.000    0.005    0.000 {method 'rstrip' of 'bytes' objects}
